prod_key,qty,local_acg,local_disc
7501765,0.400,18.480000,16.816000
7501931,1.000,19.380000,17.870000
7501970,3.000,250.980000,213.000000
7502527,1.000,68.000000,53.040000
7502528,4.000,320.000000,246.400000
7502544,3.000,48.000000,36.960000
7502995,1.000,61.200000,61.200000
7503071,1.000,45.900000,42.330000
7503086,1.000,27.500000,25.830000
7503210,2.000,20.980000,20.980000
7503392,1.000,16.500000,11.050000
7503472,5.000,0.000000,0.000000
7503593,1.000,17.000000,14.690000
7503774,3.000,48.030000,48.030000
7504026,2.000,69.360000,63.960000
7504027,3.000,201.450000,185.770000
7504185,2.000,38.580000,32.960000
7504189,2.000,83.160000,83.160000
7504194,1.000,53.000000,41.340000
7504203,1.000,13.000000,10.140000
7504229,2.000,30.000000,23.400000
7504230,2.000,30.000000,23.400000
7504233,1.000,26.000000,20.280000
7504291,2.000,54.000000,36.180000
7504401,1.000,27.500000,21.450000
7504502,2.000,34.000000,26.520000
7504915,3.000,60.000000,51.840000
7504959,1.833,104.980000,91.366050
7504960,4.000,178.980000,161.080000
7505247,1.000,29.000000,29.000000
7505267,2.000,36.910000,26.930000
7505291,1.000,40.230000,40.230000
7505545,1.000,22.680000,22.680000
7505546,2.000,50.400000,50.400000
7505547,1.000,25.200000,25.200000
7505576,1.000,21.150000,15.510000
7505723,1.000,23.100000,16.850000
7505835,3.000,72.150000,50.070000
7505919,1.000,75.000000,53.250000
7505929,3.000,97.660000,76.380000
7505986,1.000,76.000000,53.960000
7506018,1.000,30.150000,30.150000
7506032,7.000,199.570000,155.610000
7506077,5.000,189.200000,189.200000
7506099,1.000,275.500000,236.930000
7506201,1.000,36.230000,36.230000
7506210,1.000,35.690000,35.690000
7506328,3.000,79.200000,62.490000
7506628,1.000,20.170000,20.170000
7506629,1.000,5.970000,5.550000
7506653,1.000,95.640000,95.640000
7506682,1.000,40.600000,40.600000
7506774,0.167,3.697380,3.179680
7507210,1.000,22.980000,19.820000
7507259,16.000,160.720000,88.000000
7507386,1.000,67.940000,67.940000
7507390,1.000,35.230000,35.230000
7507477,10.000,160.100000,160.100000
7507608,2.000,49.200000,45.700000
7507807,1.667,15.509500,12.482280
7507875,1.000,25.500000,25.500000
7508068,8.000,122.930000,105.720000
7508069,5.000,77.720000,66.840000
7508127,2.000,50.000000,36.760000
7508141,3.000,99.000000,79.680000
7508183,1.000,40.000000,24.600000
7508325,1.000,26.280000,22.110000
7508398,3.000,198.000000,153.760000
7508404,3.000,265.950000,265.950000
7508484,1.000,35.700000,32.920000
7508485,3.000,235.620000,217.290000
7508505,4.000,152.000000,105.640000
7508570,2.000,158.400000,134.860000
7508733,3.000,84.000000,72.600000
7508852,2.000,57.200000,44.720000
7508912,5.000,214.650000,116.400000
7509072,0.500,7.155000,3.535000
7509073,0.500,14.905000,7.370000
7509205,1.000,23.330000,8.870000
7509277,2.000,165.720000,140.640000
7509669,1.000,111.160000,104.380000
7509689,3.800,68.362000,58.102000
7509695,3.000,34.170000,34.170000
7509731,1.000,16.000000,10.960000
7509827,1.000,43.000000,43.000000
7509832,2.000,76.920000,67.060000
7509933,1.000,60.180000,60.180000
7510162,1.000,70.000000,54.600000
7510185,1.000,74.010000,74.010000
7510532,1.000,26.510000,4.950000
7510610,2.000,30.000000,25.500000
7510704,3.000,139.650000,139.650000
7510715,2.000,36.800000,36.800000
7510731,14.900,354.918000,255.659000
7511016,1.000,39.330000,27.280000
7511086,2.000,18.000000,14.040000
7511087,1.000,10.000000,7.800000
7511168,1.000,19.480000,18.090000
7511180,1.000,53.000000,40.810000
7511181,4.000,184.000000,145.360000
7511186,1.000,46.800000,46.800000
7511251,1.000,23.990000,23.990000
7511276,2.000,84.600000,84.600000
7511459,1.000,15.820000,8.100000
7511464,3.000,46.410000,46.410000
7511485,1.000,37.550000,33.790000
7511557,2.000,0.900000,0.900000
7511627,1.000,92.500000,80.470000
7511881,3.000,336.180000,244.440000
7511915,5.500,163.405000,143.770000
7511971,1.000,31.000000,15.500000
7512045,0.250,10.285000,6.995000
7514154,2.000,22.720000,19.300000
7514179,1.000,18.500000,18.500000
7516873,2.000,130.800000,117.720000
7516885,4.000,220.800000,179.440000
7516886,2.000,55.200000,44.860000
7517022,1.000,9.000000,6.970000
7517032,1.000,36.510000,36.510000
7517093,2.000,42.660000,37.320000
7517195,3.000,139.740000,106.870000
7517270,2.000,20.740000,19.500000
7517376,2.000,334.860000,314.460000
7517464,3.000,178.470000,160.620000
7517499,3.000,289.340000,266.820000
7517510,3.000,472.770000,472.770000
7517585,1.600,250.592000,234.300000
7517809,4.000,57.960000,57.960000
7517915,1.000,46.920000,43.270000
7517916,1.000,111.930000,111.930000
7518000,5.000,316.000000,224.170000
7518008,1.857,71.383080,58.068390
7518012,1.000,35.860000,35.860000
7518031,2.000,116.600000,32.120000
7518054,1.000,78.850000,78.850000
7518094,3.000,72.660000,48.720000
7518147,3.000,126.000000,112.140000
7518203,1.000,26.260000,20.750000
7518208,2.000,50.000000,27.840000
7518259,2.000,128.000000,108.800000
7518263,1.000,17.000000,13.090000
7518264,5.000,575.000000,496.900000
7518287,3.000,79.200000,79.200000
7518326,2.000,28.000000,28.000000
7518339,1.000,9.000000,9.000000
7518542,6.000,110.700000,88.020000
7518602,1.000,70.380000,64.900000
7518606,2.000,83.600000,83.600000
7518779,1.000,0.010000,0.010000
7518791,3.000,217.140000,194.720000
7518885,4.000,43.520000,34.100000
7519031,1.000,9.720000,9.720000
7519033,1.000,12.700000,12.700000
7519158,2.000,99.070000,99.070000
7519203,1.000,58.000000,45.240000
7519204,1.000,58.000000,45.240000
7519249,1.000,301.180000,274.620000
7519454,4.000,86.080000,80.000000
7519521,3.000,145.400000,113.420000
7519611,2.000,33.840000,26.140000
7519691,2.000,108.780000,81.660000
7519781,5.000,435.000000,308.640000
7519787,2.000,66.400000,55.120000
7520093,2.000,204.200000,110.260000
7520095,1.000,26.650000,24.760000
7520163,1.000,11.840000,5.650000
7520166,2.000,100.100000,82.180000
7520167,1.000,50.050000,45.180000
7520302,3.000,81.000000,81.000000
7520447,3.000,313.590000,279.090000
7520537,1.000,61.490000,55.510000
7520590,1.000,58.460000,49.780000
7520665,2.000,41.800000,34.320000
7520708,3.000,77.400000,77.400000
7520719,1.000,44.290000,44.290000
7520848,1.000,37.350000,37.350000
7520862,2.000,35.000000,27.640000
7520863,6.000,142.000000,109.560000
7520878,1.000,62.000000,52.700000
7520918,2.000,68.400000,68.400000
7521062,6.000,138.000000,107.640000
7521077,1.000,19.000000,16.910000
7521142,1.000,6.990000,6.990000
7521209,7.000,392.700000,369.130000
7521291,2.000,54.780000,54.780000
7521294,2.000,84.660000,84.660000
7521306,1.000,64.000000,50.560000
7521312,1.000,43.000000,37.160000
7521402,6.000,264.600000,264.600000
7521430,2.000,91.200000,91.200000
7521431,1.000,53.200000,53.200000
7521469,2.000,82.000000,63.960000
7521571,4.000,112.760000,104.680000
7521606,1.000,45.250000,45.250000
7521633,4.000,198.000000,154.440000
7521647,1.000,21.150000,15.510000
7521755,4.000,222.000000,222.000000
7521785,1.000,48.920000,39.280000
7521788,1.000,40.770000,40.770000
7521830,1.000,20.000000,17.280000
7521831,3.000,345.000000,298.140000
7521981,1.000,76.500000,76.500000
7522016,4.000,5.040000,5.040000
7522068,1.000,17.000000,14.690000
7522112,2.000,92.580000,92.580000
7522154,1.000,69.610000,64.270000
7522197,1.000,48.620000,42.300000
7522201,3.000,46.500000,46.500000
7522202,1.000,12.400000,12.400000
7522203,1.000,12.420000,12.420000
7522206,1.000,15.500000,15.500000
7522343,1.000,15.000000,13.350000
7522455,1.000,15.300000,15.300000
7522466,3.000,16.290000,12.210000
7522628,1.643,64.224870,32.909290
7522635,2.000,114.400000,106.400000
7522638,8.000,301.680000,171.200000
7522639,2.000,75.000000,47.400000
7522713,5.000,195.650000,195.650000
7522729,4.000,140.000000,121.000000
7522751,4.000,273.000000,203.200000
7522845,3.000,138.720000,127.930000
7523089,3.000,101.880000,86.730000
7523116,1.000,36.090000,16.290000
7523164,1.000,27.000000,21.060000
7523306,2.000,0.000000,0.000000
7523308,6.000,444.000000,353.820000
7523350,1.000,10.590000,10.590000
7523357,2.000,99.000000,79.460000
7523360,2.000,106.000000,91.160000
7523406,4.000,180.000000,155.560000
7523641,7.000,211.400000,211.400000
7523642,2.000,46.600000,46.600000
7523643,2.000,45.800000,45.800000
7523719,3.000,41.580000,41.580000
7523720,3.000,45.900000,45.900000
7523833,4.000,3.150000,3.150000
7524049,1.000,63.000000,50.720000
7524077,1.000,60.180000,55.500000
7524202,4.000,53.460000,40.020000
7524230,1.000,38.970000,38.970000
7524297,8.000,61.040000,40.900000
7524401,3.000,88.590000,67.110000
7524441,3.000,13.140000,13.140000
7524451,1.000,34.200000,34.200000
7524474,3.000,70.160000,52.210000
7524579,2.000,35.000000,26.260000
7524586,3.000,207.900000,207.900000
7524619,3.000,130.050000,119.920000
7524640,1.000,61.200000,61.200000
7524641,1.000,61.200000,61.200000
7524756,10.000,50.000000,1.500000
7524805,1.000,39.000000,30.420000
7525192,2.000,106.200000,106.200000
7525205,5.000,214.500000,176.100000
7525226,1.000,51.950000,46.760000
7525282,3.000,132.540000,132.540000
7525285,3.000,116.100000,116.100000
7525329,4.000,83.360000,52.360000
7525331,4.000,94.480000,59.360000
7525349,4.000,67.020000,49.960000
7525359,2.000,15.990000,14.500000
7525404,3.000,167.400000,167.400000
7525405,7.000,399.600000,399.600000
7525574,1.000,113.310000,105.480000
7525581,1.000,43.000000,33.330000
7525584,2.000,120.000000,96.000000
7525602,3.000,134.100000,113.790000
7525618,18.000,38.340000,38.340000
7525650,4.000,180.000000,132.320000
7525684,1.000,23.000000,17.710000
7525685,1.000,33.000000,25.740000
7525687,3.000,156.000000,121.680000
7525707,1.000,50.060000,45.410000
7525712,4.000,133.960000,133.960000
7525732,2.000,690.000000,589.200000
7525735,1.000,230.000000,179.400000
7525812,2.000,70.000000,29.120000
7525880,4.000,226.800000,168.800000
7525884,7.000,281.400000,230.660000
7525889,1.000,84.000000,65.160000
7525905,1.000,39.000000,30.420000
7525935,1.000,50.230000,48.220000
7525937,1.000,46.280000,43.040000
7526083,1.000,53.000000,41.340000
7526086,4.000,167.000000,133.200000
7526087,1.000,32.000000,24.640000
7526089,1.000,39.000000,31.390000
7526090,3.000,135.000000,106.650000
7526092,2.000,46.500000,36.760000
7526169,2.000,74.780000,74.780000
7526471,1.000,17.950000,17.950000
7527150,1.000,8.100000,8.100000
7529497,3.000,74.100000,74.100000
7530561,3.000,87.810000,87.810000
7531952,1.000,182.000000,182.000000
7532677,1.560,167.310000,105.097200
7532764,2.000,60.000000,51.860000
7532780,2.000,90.980000,77.340000
7532956,4.000,94.360000,70.400000
7532957,4.000,59.200000,44.320000
7532958,1.000,14.090000,10.550000
7532960,1.000,17.520000,13.040000
7532971,1.000,127.620000,127.620000
7532974,2.000,110.380000,110.380000
7532989,3.000,156.060000,143.910000
7532997,3.000,227.280000,202.290000
7533052,4.000,108.000000,84.240000
7533063,1.000,417.600000,417.600000
7533083,1.000,7.330000,7.330000
7533121,5.000,39.400000,39.400000
7533150,1.000,62.000000,52.700000
7533177,1.000,54.080000,50.290000
7533178,2.000,200.920000,186.860000
7533183,2.000,269.640000,269.640000
7533424,7.000,113.400000,113.400000
7533464,1.393,53.198670,37.525550
7533483,3.000,171.000000,123.120000
7533541,3.000,174.000000,135.720000
7533723,3.000,133.730000,133.730000
7533746,2.000,116.000000,90.480000
7533812,1.000,58.500000,45.630000
7533820,1.000,25.000000,20.750000
7534107,2.000,198.680000,182.780000
7534134,0.250,4.700000,2.020000
7534143,0.700,18.060000,18.060000
7534162,3.000,135.000000,117.830000
7534163,2.000,90.000000,80.100000
7534164,4.000,180.000000,155.560000
7534226,1.000,17.740000,13.280000
7534242,4.000,176.000000,119.680000
7534261,4.000,94.560000,94.560000
7534268,1.000,17.990000,15.470000
7534270,3.000,74.430000,64.020000
7534293,13.000,242.450000,242.450000
7534296,3.000,20.490000,20.490000
7534297,4.000,64.080000,64.080000
7534299,2.000,35.780000,35.780000
7534300,2.000,25.060000,25.060000
7534304,2.000,63.360000,63.360000
7534305,3.000,95.040000,95.040000
7534311,2.000,62.600000,62.600000
7534349,2.000,122.000000,95.160000
7534361,1.000,50.000000,45.000000
7534366,2.000,338.280000,317.680000
7534373,4.000,173.320000,127.960000
